"file","lang","id","text"
"audio/he/p5-q.mp3","he","p5-q","מִמַּה מֻרְכָּב מֶרְחַק הָעֲצִירָה?"
"audio/he/p5-o0.mp3","he","p5-o0","זְמַן תְּגוּבָה וְדֶרֶךְ בְּלִימָה"
"audio/he/p5-o1.mp3","he","p5-o1","רַק דֶּרֶךְ בְּלִימָה"
"audio/he/p5-o2.mp3","he","p5-o2","רַק זְמַן תְּגוּבָה"
"audio/he/p5-h1.mp3","he","p5-h1","הִסְתַּכֵּל עַל הָרֶוַח בֵּין שְׁתֵּי הַמְּכוֹנִיּוֹת."
"audio/he/p5-h2.mp3","he","p5-h2","יֵשׁ שְׁנֵי חֲלָקִים: הַזְּמַן עַד שֶׁאַתָּה מֵגִיב, וְהַדֶּרֶךְ אַחֲרֵי הַלְּחִיצָה עַל הַבֶּלֶם."
"audio/he/p5-p.mp3","he","p5-p","נֶהְדָּר. שְׁנֵי חֲלָקִים, לֹא אֶחָד."
"audio/he/p6-q.mp3","he","p6-q","מָה קוֹרֶה לְמֶרְחַק הָעֲצִירָה בִּכְבִישׁ רָטֹב?"
"audio/he/p6-h1.mp3","he","p6-h1","הִסְתַּכֵּל עַל פְּנֵי הַכְּבִישׁ."
"audio/he/p6-h2.mp3","he","p6-h2","כְּבִישׁ רָטֹב מַחְלִיק. הַצְּמִיגִים אוֹחֲזִים פָּחוֹת, וְצָרִיךְ יוֹתֵר דֶּרֶךְ כְּדֵי לַעֲצֹר."
"audio/he/p6-p.mp3","he","p6-p","כָּל הַכָּבוֹד. בְּרָטֹב שׁוֹמְרִים יוֹתֵר מֶרְחָק."
"audio/he/ui-almostSay.mp3","he","ui-almostSay","כִּמְעַט. בּוֹא נִסְתַּכֵּל שׁוּב."
"audio/he/ui-correctIs.mp3","he","ui-correctIs","הַתְּשׁוּבָה הַנְּכוֹנָה מְסֻמֶּנֶת בְּיָרֹק."
"audio/he/ui-resT.mp3","he","ui-resT","כָּל הַכָּבוֹד!"
"audio/he/ui-resP.mp3","he","ui-resP","כָּל תִּרְגּוּל עוֹזֵר. אֶפְשָׁר לַחֲזֹר מָתַי שֶׁתִּרְצֶה."
"audio/he/ui-lessonDoneT.mp3","he","ui-lessonDoneT","סִיַּמְתָּ אֶת הַשִּׁעוּר!"
"audio/he/ui-lessonDoneP.mp3","he","ui-lessonDoneP","עוֹד צַעַד קָדִימָה. אַתָּה מִתְקַדֵּם יָפֶה."
"audio/he/ui-allDone.mp3","he","ui-allDone","סִיַּמְתָּ אֶת כָּל הַשִּׁעוּרִים!"
"audio/ar/l1-t.mp3","ar","l1-t","شارة قف"
"audio/ar/l1-s0.mp3","ar","l1-s0","شارة قف هي شارة ثمانية الأضلاع باللون الأحمر."
"audio/ar/l1-s1.mp3","ar","l1-s1","عند الوصول إليها يجب التوقف توقفًا تامًا."
"audio/ar/l1-s2.mp3","ar","l1-s2","توقف قبل خط التوقف على الطريق."
"audio/ar/l1-s3.mp3","ar","l1-s3","انظر يمينًا ويسارًا."
"audio/ar/l1-s4.mp3","ar","l1-s4","تابع السير فقط عندما يكون الطريق آمنًا تمامًا."
"audio/ar/l1-q.mp3","ar","l1-q","وصلت إلى شارة قف والطريق يبدو فارغًا. ماذا تفعل؟"
"audio/ar/l1-o0.mp3","ar","l1-o0","تتوقف توقفًا تامًا"
"audio/ar/l1-o1.mp3","ar","l1-o1","تبطئ وتتابع"
"audio/ar/l1-o2.mp3","ar","l1-o2","تتابع السير كالمعتاد"
"audio/ar/l1-r.mp3","ar","l1-r","صحيح. عند شارة قف نتوقف دائمًا."
"audio/ar/l1-w.mp3","ar","l1-w","عند شارة قف نتوقف دائمًا، حتى لو كان الطريق فارغًا."
"audio/ar/l2-t.mp3","ar","l2-t","مسافة التوقف"
"audio/ar/l2-s0.mp3","ar","l2-s0","مسافة التوقف هي كل المسافة التي تقطعها السيارة حتى تقف."
"audio/ar/l2-s1.mp3","ar","l2-s1","تتكوّن من جزأين."
"audio/ar/l2-s2.mp3","ar","l2-s2","الجزء الأول هو زمن ردّ الفعل."
"audio/ar/l2-s3.mp3","ar","l2-s3","الجزء الثاني هو المسافة التي تقطعها السيارة بعد الضغط على المكابح."
"audio/ar/l2-s4.mp3","ar","l2-s4","كلما زادت السرعة زادت مسافة التوقف كثيرًا."
"audio/ar/l2-s5.mp3","ar","l2-s5","على طريق مبلل تزداد المسافة أكثر."
"audio/ar/l2-q.mp3","ar","l2-q","زادت سرعتك. ماذا يحدث لمسافة التوقف؟"
"audio/ar/p6-o0.mp3","ar","p6-o0","تزداد"
"audio/ar/p6-o2.mp3","ar","p6-o2","لا تتغير"
"audio/ar/p6-o1.mp3","ar","p6-o1","تقل"
"audio/ar/l2-r.mp3","ar","l2-r","صحيح. السرعة الأعلى تطيل مسافة التوقف."
"audio/ar/l2-w.mp3","ar","l2-w","عندما تزيد السرعة تزداد مسافة التوقف."
"audio/ar/l3-t.mp3","ar","l3-t","أعطِ حق الأولوية"
"audio/ar/l3-s0.mp3","ar","l3-s0","هذه الشارة مثلث أبيض بإطار أحمر."
"audio/ar/l3-s1.mp3","ar","l3-s1","رأس المثلث يتجه إلى الأسفل."
"audio/ar/l3-s2.mp3","ar","l3-s2","معناها: أعطِ حق الأولوية للمركبات في الطريق أمامك."
"audio/ar/l3-s3.mp3","ar","l3-s3","لست مضطرًا للتوقف إذا كان الطريق خاليًا تمامًا."
"audio/ar/l3-s4.mp3","ar","l3-s4","لكن يجب أن تبطئ وتكون مستعدًا للتوقف."
"audio/ar/l3-q.mp3","ar","l3-q","ما الفرق بين شارة أعطِ حق الأولوية وشارة قف؟"
"audio/ar/l3-o0.mp3","ar","l3-o0","عند قف نتوقف دائمًا، وعند أعطِ الأولوية فقط عند الحاجة"
"audio/ar/l3-o1.mp3","ar","l3-o1","لا يوجد فرق"
"audio/ar/l3-o2.mp3","ar","l3-o2","عند أعطِ الأولوية نتوقف دائمًا"
"audio/ar/l3-r.mp3","ar","l3-r","صحيح. شارة قف تعني التوقف التام دائمًا."
"audio/ar/l3-w.mp3","ar","l3-w","عند شارة قف نتوقف دائمًا. وعند أعطِ الأولوية نتوقف فقط إذا اقتربت مركبة."
"audio/ar/p1-q.mp3","ar","p1-q","ماذا يجب أن تفعل عند الوصول إلى هذه الشارة؟"
"audio/ar/p1-o0.mp3","ar","p1-o0","التوقف توقفًا تامًا"
"audio/ar/p1-o1.mp3","ar","p1-o1","الإبطاء فقط"
"audio/ar/p1-o2.mp3","ar","p1-o2","التنبيه والمرور"
"audio/ar/p1-h1.mp3","ar","p1-h1","انظر إلى الكلمة المكتوبة على الشارة."
"audio/ar/p1-h2.mp3","ar","p1-h2","الشارة تقول قف. وقف تعني توقفًا تامًا وليس إبطاءً."
"audio/ar/p1-p.mp3","ar","p1-p","ممتاز. توقف تام دائمًا."
"audio/ar/p2-q.mp3","ar","p2-q","ما شكل شارة قف؟"
"audio/ar/p2-o0.mp3","ar","p2-o0","ثمانية الأضلاع"
"audio/ar/p2-o1.mp3","ar","p2-o1","مثلث"
"audio/ar/p2-o2.mp3","ar","p2-o2","دائرة"
"audio/ar/p2-h1.mp3","ar","p2-h1","انظر إلى الزوايا المقطوعة في الشارة."
"audio/ar/p2-h2.mp3","ar","p2-h2","عُدّ الأضلاع. هناك ثمانية. ثمانية أضلاع تعني شكلًا ثماني الأضلاع."
"audio/ar/p2-p.mp3","ar","p2-p","جميل. الشكل الثماني الأحمر يعني قف دائمًا."
"audio/ar/p3-q.mp3","ar","p3-q","إلى أين يتجه رأس شارة أعطِ حق الأولوية؟"
"audio/ar/p3-o0.mp3","ar","p3-o0","إلى الأسفل"
"audio/ar/p3-o1.mp3","ar","p3-o1","إلى الأعلى"
"audio/ar/p3-o2.mp3","ar","p3-o2","إلى الجانب"
"audio/ar/p3-h1.mp3","ar","p3-h1","انظر إلى الطرف السفلي للمثلث."
"audio/ar/p3-h2.mp3","ar","p3-h2","المثلث مقلوب. رأسه يشير إلى الأسفل، باتجاه الطريق."
"audio/ar/p3-p.mp3","ar","p3-p","بالضبط. الرأس يشير دائمًا إلى الأسفل."
"audio/ar/p4-q.mp3","ar","p4-q","تقترب مركبة في الطريق أمامك. ماذا تفعل عند هذه الشارة؟"
"audio/ar/p4-o0.mp3","ar","p4-o0","تتركها تمر"
"audio/ar/p4-o1.mp3","ar","p4-o1","تتابع أنت أولًا"
"audio/ar/p4-o2.mp3","ar","p4-o2","تنبّه وتمر"
"audio/ar/p4-h1.mp3","ar","p4-h1","الإطار الأحمر يشير إلى وجود خطر."
"audio/ar/p4-h2.mp3","ar","p4-h2","الشارة تقول: المركبة في الطريق أمامك تمر أولًا. أنت تنتظر."
"audio/ar/p4-p.mp3","ar","p4-p","صحيح تمامًا. اترك المركبة تمر."
"audio/ar/p5-q.mp3","ar","p5-q","مِمَّ تتكوّن مسافة التوقف؟"
"audio/ar/p5-o0.mp3","ar","p5-o0","زمن ردّ الفعل ومسافة الكبح"
"audio/ar/p5-o1.mp3","ar","p5-o1","مسافة الكبح فقط"
"audio/ar/p5-o2.mp3","ar","p5-o2","زمن ردّ الفعل فقط"
"audio/ar/p5-h1.mp3","ar","p5-h1","انظر إلى المسافة بين السيارتين."
"audio/ar/p5-h2.mp3","ar","p5-h2","هناك جزآن: الزمن حتى تتفاعل، والمسافة بعد الضغط على المكابح."
"audio/ar/p5-p.mp3","ar","p5-p","رائع. جزآن، وليس جزءًا واحدًا."
"audio/ar/p6-q.mp3","ar","p6-q","ماذا يحدث لمسافة التوقف على طريق مبلل؟"
"audio/ar/p6-h1.mp3","ar","p6-h1","انظر إلى سطح الطريق."
"audio/ar/p6-h2.mp3","ar","p6-h2","الطريق المبلل زلق. الإطارات تتماسك أقل، وتحتاج مسافة أطول للتوقف."
"audio/ar/p6-p.mp3","ar","p6-p","أحسنت. على الطريق المبلل حافظ على مسافة أكبر."
"audio/ar/ui-almostSay.mp3","ar","ui-almostSay","قريب جدًا. لننظر مرة أخرى."
"audio/ar/ui-correctIs.mp3","ar","ui-correctIs","الإجابة الصحيحة محدَّدة بالأخضر."
"audio/ar/ui-resT.mp3","ar","ui-resT","أحسنت!"
"audio/ar/ui-resP.mp3","ar","ui-resP","كل تدريب يساعد. يمكنك العودة في أي وقت."
"audio/ar/ui-lessonDoneT.mp3","ar","ui-lessonDoneT","أنهيت الدرس!"
"audio/ar/ui-lessonDoneP.mp3","ar","ui-lessonDoneP","خطوة أخرى إلى الأمام. أنت تتقدّم جيدًا."
"audio/ar/ui-allDone.mp3","ar","ui-allDone","أنهيت جميع الدروس!"
"audio/en/l1-t.mp3","en","l1-t","The stop sign"
"audio/en/l1-s0.mp3","en","l1-s0","The stop sign is a red octagon."
"audio/en/l1-s1.mp3","en","l1-s1","When you reach it you must come to a full stop."
"audio/en/l1-s2.mp3","en","l1-s2","Stop before the white line on the road."
"audio/en/l1-s3.mp3","en","l1-s3","Look right and look left."
"audio/en/l1-s4.mp3","en","l1-s4","Continue only when it is completely safe."
"audio/en/l1-q.mp3","en","l1-q","You reach a stop sign. The road looks completely empty. What do you do?"
"audio/en/p1-o0.mp3","en","p1-o0","Come to a full stop"
"audio/en/l1-o1.mp3","en","l1-o1","Slow down and continue"
"audio/en/l1-o2.mp3","en","l1-o2","Keep driving as usual"
"audio/en/l1-r.mp3","en","l1-r","Correct. At a stop sign you always stop."
"audio/en/l1-w.mp3","en","l1-w","At a stop sign you always stop, even when the road is empty."
"audio/en/l2-t.mp3","en","l2-t","Stopping distance"
"audio/en/l2-s0.mp3","en","l2-s0","Stopping distance is the whole distance the car travels until it stops."
"audio/en/l2-s1.mp3","en","l2-s1","It has two parts."
"audio/en/l2-s2.mp3","en","l2-s2","The first part is your reaction time."
"audio/en/l2-s3.mp3","en","l2-s3","The second part is the distance the car travels after you press the brake."
"audio/en/l2-s4.mp3","en","l2-s4","The faster you drive, the much longer the stopping distance becomes."
"audio/en/l2-s5.mp3","en","l2-s5","On a wet road the distance grows even more."
"audio/en/l2-q.mp3","en","l2-q","You drive faster. What happens to the stopping distance?"
"audio/en/p6-o0.mp3","en","p6-o0","It gets longer"
"audio/en/p6-o2.mp3","en","p6-o2","It stays the same"
"audio/en/p6-o1.mp3","en","p6-o1","It gets shorter"
"audio/en/l2-r.mp3","en","l2-r","Correct. Higher speed makes the stopping distance longer."
"audio/en/l2-w.mp3","en","l2-w","When you drive faster, the stopping distance gets longer."
"audio/en/l3-t.mp3","en","l3-t","Give way"
"audio/en/l3-s0.mp3","en","l3-s0","This sign is a white triangle with a red border."
"audio/en/l3-s1.mp3","en","l3-s1","The point of the triangle faces down."
"audio/en/l3-s2.mp3","en","l3-s2","It means: give way to vehicles on the road ahead."
"audio/en/l3-s3.mp3","en","l3-s3","You do not have to stop if the road is completely clear."
"audio/en/l3-s4.mp3","en","l3-s4","But you must slow down and be ready to stop."
"audio/en/l3-q.mp3","en","l3-q","What is the difference between give way and stop?"
"audio/en/l3-o0.mp3","en","l3-o0","At stop you always stop, at give way only if needed"
"audio/en/l3-o1.mp3","en","l3-o1","There is no difference"
"audio/en/l3-o2.mp3","en","l3-o2","At give way you always stop"
"audio/en/l3-r.mp3","en","l3-r","Correct. Stop always means a full stop."
"audio/en/l3-w.mp3","en","l3-w","At a stop sign you always stop. At give way you stop only if a vehicle is coming."
"audio/en/p1-q.mp3","en","p1-q","What must you do when you reach this sign?"
"audio/en/p1-o1.mp3","en","p1-o1","Only slow down"
"audio/en/p4-o2.mp3","en","p4-o2","Honk and pass"
"audio/en/p1-h1.mp3","en","p1-h1","Look at the word written on the sign."
"audio/en/p1-h2.mp3","en","p1-h2","The sign says stop. Stop means a full stop, not slowing down."
"audio/en/p1-p.mp3","en","p1-p","Excellent. A full stop, every time."
"audio/en/p2-q.mp3","en","p2-q","What is the shape of the stop sign?"
"audio/en/p2-o0.mp3","en","p2-o0","An octagon"
"audio/en/p2-o1.mp3","en","p2-o1","A triangle"
"audio/en/p2-o2.mp3","en","p2-o2","A circle"
"audio/en/p2-h1.mp3","en","p2-h1","Look at the cut corners of the sign."
"audio/en/p2-h2.mp3","en","p2-h2","Count the sides. There are eight. Eight sides make an octagon."
"audio/en/p2-p.mp3","en","p2-p","Nice. A red octagon always means stop."
"audio/en/p3-q.mp3","en","p3-q","Which way does the point of the give way sign face?"
"audio/en/p3-o0.mp3","en","p3-o0","Downwards"
"audio/en/p3-o1.mp3","en","p3-o1","Upwards"
"audio/en/p3-o2.mp3","en","p3-o2","Sideways"
"audio/en/p3-h1.mp3","en","p3-h1","Look at the bottom tip of the triangle."
"audio/en/p3-h2.mp3","en","p3-h2","The triangle is upside down. Its point faces down, towards the road."
"audio/en/p3-p.mp3","en","p3-p","Exactly. The point always faces down."
"audio/en/p4-q.mp3","en","p4-q","A vehicle is coming on the road ahead. What do you do at this sign?"
"audio/en/p4-o0.mp3","en","p4-o0","Let it pass first"
"audio/en/p4-o1.mp3","en","p4-o1","Go first yourself"
"audio/en/p4-h1.mp3","en","p4-h1","The red border marks a danger here."
"audio/en/p4-h2.mp3","en","p4-h2","The sign says: the vehicle on the road ahead goes first. You wait."
"audio/en/p4-p.mp3","en","p4-p","That is right. Let it pass."
"audio/en/p5-q.mp3","en","p5-q","What is stopping distance made of?"
"audio/en/p5-o0.mp3","en","p5-o0","Reaction time and braking distance"
"audio/en/p5-o1.mp3","en","p5-o1","Only braking distance"
"audio/en/p5-o2.mp3","en","p5-o2","Only reaction time"
"audio/en/p5-h1.mp3","en","p5-h1","Look at the gap between the two cars."
"audio/en/p5-h2.mp3","en","p5-h2","There are two parts: the time until you react, and the distance after you brake."
"audio/en/p5-p.mp3","en","p5-p","Great. Two parts, not one."
"audio/en/p6-q.mp3","en","p6-q","What happens to the stopping distance on a wet road?"
"audio/en/p6-h1.mp3","en","p6-h1","Look at the road surface."
"audio/en/p6-h2.mp3","en","p6-h2","A wet road is slippery. The tyres grip less, so you need more distance to stop."
"audio/en/p6-p.mp3","en","p6-p","Well done. On a wet road keep more distance."
"audio/en/ui-almostSay.mp3","en","ui-almostSay","Almost. Let us look again."
"audio/en/ui-correctIs.mp3","en","ui-correctIs","The correct answer is marked in green."
"audio/en/ui-resT.mp3","en","ui-resT","Well done!"
"audio/en/ui-resP.mp3","en","ui-resP","Every round of practice helps. Come back any time."
"audio/en/ui-lessonDoneT.mp3","en","ui-lessonDoneT","Lesson complete!"
"audio/en/ui-lessonDoneP.mp3","en","ui-lessonDoneP","Another step forward. You are making good progress."
"audio/en/ui-allDone.mp3","en","ui-allDone","You finished all the lessons!"
"audio/ru/l1-t.mp3","ru","l1-t","Знак «Стоп»"
"audio/ru/l1-s0.mp3","ru","l1-s0","Знак «Стоп» — это красный восьмиугольник."
"audio/ru/l1-s1.mp3","ru","l1-s1","При подъезде к нему нужно полностью остановиться."
"audio/ru/l1-s2.mp3","ru","l1-s2","Остановитесь перед стоп-линией на дороге."
"audio/ru/l1-s3.mp3","ru","l1-s3","Посмотрите направо и налево."
"audio/ru/l1-s4.mp3","ru","l1-s4","Продолжайте движение, только когда полностью безопасно."
"audio/ru/l1-q.mp3","ru","l1-q","Вы подъехали к знаку «Стоп». Дорога выглядит пустой. Что делать?"
"audio/ru/p1-o0.mp3","ru","p1-o0","Полностью остановиться"
"audio/ru/l1-o1.mp3","ru","l1-o1","Снизить скорость и проехать"
"audio/ru/l1-o2.mp3","ru","l1-o2","Ехать как обычно"
"audio/ru/l1-r.mp3","ru","l1-r","Верно. У знака «Стоп» всегда останавливаются."
"audio/ru/l1-w.mp3","ru","l1-w","У знака «Стоп» останавливаются всегда, даже если дорога пуста."
"audio/ru/l2-t.mp3","ru","l2-t","Тормозной путь"
"audio/ru/l2-s0.mp3","ru","l2-s0","Тормозной путь — это всё расстояние, которое машина проезжает до полной остановки."
"audio/ru/l2-s1.mp3","ru","l2-s1","Он состоит из двух частей."
"audio/ru/l2-s2.mp3","ru","l2-s2","Первая часть — это время вашей реакции."
"audio/ru/l2-s3.mp3","ru","l2-s3","Вторая часть — это путь машины после нажатия на тормоз."
"audio/ru/l2-s4.mp3","ru","l2-s4","Чем выше скорость, тем намного длиннее тормозной путь."
"audio/ru/l2-s5.mp3","ru","l2-s5","На мокрой дороге путь становится ещё длиннее."
"audio/ru/l2-q.mp3","ru","l2-q","Вы поехали быстрее. Что происходит с тормозным путём?"
"audio/ru/p6-o0.mp3","ru","p6-o0","Он увеличивается"
"audio/ru/p6-o2.mp3","ru","p6-o2","Он не меняется"
"audio/ru/p6-o1.mp3","ru","p6-o1","Он уменьшается"
"audio/ru/l2-r.mp3","ru","l2-r","Верно. Чем выше скорость, тем длиннее тормозной путь."
"audio/ru/l2-w.mp3","ru","l2-w","При большей скорости тормозной путь увеличивается."
